Repository,Branch,In-Scope(YES)
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/esub20-prd-mongodb-static-spn,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/esub20-prd-mongodb-static-spn-2022,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/esub20-prd-mongodb-static-spn-2023,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/esub20_nprd_sit_static_spn_20230210,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/esubuatsbnaz2sh6zbt,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/feature/hfnhse-generating-spn-3,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/hfnhse-generating-spn-2,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/hfnhse-generating-spn-4,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/idlife_apim_poc,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/lku234-generating-spn-2,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/lku234-generating-spn-dbk-storage,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/lku234-generating-spn-dbk-storage-20220906,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/phkl-renew-spn-azure-keyvault,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/plai-nprd-mongodb-dynamic-spn,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/plai-nprd-mongodb-static-spn,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/plai-nprd-mongodb-static-spn-v2,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/pluk,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/pluk-datalake-prod,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/plukdatalake/dev,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/pruforce-prd,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/pruforce-uat,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/ptpla-pruforce-uat-bx2urn-createkey,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/sigma-1,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/sigma-2,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/sigma-3,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/sigma-4,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/sigma-5,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/sigma-6,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/sigma-azuredevops,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/sigma-azuredevops-2,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/sigma-dev,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/static_spn_pfap,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feature/static_spn_pfapulse_prod,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,felixhe_prudential.com.cn/sprequest.yml-1613462513820,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,felixhe_prudential.com.cn/sprequest.yml-1613543461809,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,felixhe_prudential.com.cn/sprequest.yml-1618883488759,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,felixhe_prudential.com.cn/sprequest.yml-1618893793933,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,felixhe_prudential.com.cn/sprequest.yml-1618920872515,
