Repository,Branch,In-Scope(YES)
pru-pacs/pacs-ftb-cs-sgfindex-producer-backend-ops,feature/pacssre,
pru-pacs/pacs-ftb-cs-sgfindex-producer-backend-ops,master,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend,feature/PACSCADS-2552-java21,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend,feature/PACSCADS-2601-1,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend,feature/code-coverage,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend,feature/dh_issue,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend,feature/gh,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend,feature/gh-1,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend,feature/gh-2,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend,master,YES
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend,release/PACSCADS-1884-new-aquasec,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend,release/PACSCADS-1884,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend,release/PACSCADS-2601-2,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend,release/PACSCADS-2601-testCIpipeline,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend,release/PACSCADS-2601,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend,release/code-coverage,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend,release/dsoscan,YES
pru-pacs/pacs-ftb-cs-pulse-backend-kops,HA-PROD,
pru-pacs/pacs-ftb-cs-pulse-backend-kops,PACSCADS-1543-kops-change,
pru-pacs/pacs-ftb-cs-pulse-backend-kops,abhinayetikalapadu_prudential.com.sg/_ingress.yaml-1651717143834,
pru-pacs/pacs-ftb-cs-pulse-backend-kops,feature/gh,
pru-pacs/pacs-ftb-cs-pulse-backend-kops,feature/ingress,
pru-pacs/pacs-ftb-cs-pulse-backend-kops,hsv,
pru-pacs/pacs-ftb-cs-pulse-backend-kops,master,
pru-pacs/pacs-ftb-cs-pulse-backend-kops,release/PACSPAPS-2515,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend-ops,PACSSRE-5170-AKS-HA,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend-ops,abhinayetikalapadu_prudential.com.sg/_deployment.yaml-1721018873864,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend-ops,feature/PACSCADS-2327-merge-HA-to-master,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend-ops,feature/clean-master-branch,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend-ops,feature/dynatrace-restart,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend-ops,feature/pacssre,
pru-pacs/pacs-ftb-cs-sgfindex-consumer-backend-ops,master,
pru-pacs/pacs-ftb-cs-sgfindex-producer-backend,feature/PACSCADS-1594-sso,
pru-pacs/pacs-ftb-cs-sgfindex-producer-backend,master,YES
pru-pacs/pacs-ftb-cs-sgfindex-producer-backend,release/PACSCADS-1429-HA,
pru-pacs/pacs-ftb-cs-sgfindex-producer-backend,release/PACSCADS-1429-HA-new-aquasec,
pru-pacs/pacs-ftb-cs-sgfindex-producer-backend,release/PACSCADS-1594-sso,
pru-pacs/pacs-ftb-cs-sgfindex-producer-backend,release/PACSCADS-1852,
pru-pacs/pacs-ftb-cs-sgfindex-producer-backend,release/PACSCADS-2601-testCIpipeline,
pru-pacs/pacs-ftb-cs-sgfindex-producer-backend,release/PACSCADS-2601,
pru-pacs/pacs-ftb-cs-sgfindex-producer-backend,release/code-coverage,
pru-pacs/pacs-ftb-cs-sgfindex-producer-backend,release/dsoscan,YES
