displayName,role,tag
GITHUB-8RW-Managers,Managers,8RW
GITHUB-8SE-Managers,Managers,8SE
GITHUB-8UG-Managers,Managers,8UG
GITHUB-8US-Managers,Managers,8US
GITHUB-8V8-Managers,Managers,8V8
GITHUB-8VN-Managers,Managers,8VN
GITHUB-8WH-Managers,Managers,8WH
GITHUB-8Z3-Managers,Managers,8Z3
GITHUB-92P-Managers,Managers,92P
GITHUB-938-Managers,Managers,938
GITHUB-93H-Managers,Managers,93H
GITHUB-93U-Managers,Managers,93U
GITHUB-953-Managers,Managers,953
GITHUB-96Z-Managers,Managers,96Z
GITHUB-97A-Managers,Managers,97A
GITHUB-98M-Managers,Managers,98M
GITHUB-99F-Managers,Managers,99F
GITHUB-99R-Managers,Managers,99R
GITHUB-9B8-Managers,Managers,9B8
GITHUB-9BH-Managers,Managers,9BH
GITHUB-9DA-Managers,Managers,9DA
GITHUB-9FB-Managers,Managers,9FB
GITHUB-9FK-Managers,Managers,9FK
GITHUB-9G3-Managers,Managers,9G3
GITHUB-9GF-Managers,Managers,9GF
GITHUB-9HA-Managers,Managers,9HA
GITHUB-9J7-Managers,Managers,9J7
GITHUB-9J8-Managers,Managers,9J8
GITHUB-9JR-Managers,Managers,9JR
GITHUB-9KP-Managers,Managers,9KP
GITHUB-9MC-Managers,Managers,9MC
GITHUB-9MG-Managers,Managers,9MG
null,Managers,9MU
GITHUB-9N9-Managers,Managers,9N9
GITHUB-9NK-Managers,Managers,9NK
GITHUB-9Q4-Managers,Managers,9Q4
GITHUB-9SV-Managers,Managers,9SV
GITHUB-9T5-Managers,Managers,9T5
GITHUB-9TQ-Managers,Managers,9TQ
GITHUB-9TT-Managers,Managers,9TT
GITHUB-9V9-Managers,Managers,9V9
GITHUB-9VV-Managers,Managers,9VV
GITHUB-9WF-Managers,Managers,9WF
GITHUB-9Y7-Managers,Managers,9Y7
GITHUB-9YU-Managers,Managers,9YU
GITHUB-A4B-Managers,Managers,A4B
GITHUB-A4D-Managers,Managers,A4D
null,Managers,A5P
GITHUB-A6M-Managers,Managers,A6M
GITHUB-A72-Managers,Managers,A72
GITHUB-A7H-Managers,Managers,A7H
GITHUB-A7Y-Managers,Managers,A7Y
GITHUB-A88-Managers,Managers,A88
null,Managers,AAD
GITHUB-AAE-Managers,Managers,AAE
GITHUB-AAH-Managers,Managers,AAH
GITHUB-AAT-Managers,Managers,AAT
GITHUB-AAU-Managers,Managers,AAU
GITHUB-AB4-Managers,Managers,AB4
GITHUB-ABU-Managers,Managers,ABU
GITHUB-ACA-Managers,Managers,ACA
GITHUB-ACW-Managers,Managers,ACW
GITHUB-AD3-Managers,Managers,AD3
GITHUB-AEN-Managers,Managers,AEN
GITHUB-AFX-Managers,Managers,AFX
null,Managers,AG6
GITHUB-AGH-Managers,Managers,AGH
GITHUB-AGR-Managers,Managers,AGR
GITHUB-AH2-Managers,Managers,AH2
GITHUB-AJG-Managers,Managers,AJG
null,Managers,AJH
GITHUB-AM6-Managers,Managers,AM6
GITHUB-AMS-Managers,Managers,AMS
GITHUB-ANM-Managers,Managers,ANM
GITHUB-APP-Managers,Managers,APP
GITHUB-APZ-Managers,Managers,APZ
GITHUB-AQZ-Managers,Managers,AQZ
GITHUB-AR2-Managers,Managers,AR2
GITHUB-AR8-Managers,Managers,AR8
GITHUB-ARQ-Managers,Managers,ARQ
GITHUB-ARX-Managers,Managers,ARX
GITHUB-ATM-Managers,Managers,ATM
GITHUB-AU3-Managers,Managers,AU3
GITHUB-AUW-Managers,Managers,AUW
GITHUB-AVG-Managers,Managers,AVG
GITHUB-AVH-Managers,Managers,AVH
GITHUB-AVK-Managers,Managers,AVK
GITHUB-AVT-Managers,Managers,AVT
GITHUB-AYG-Managers,Managers,AYG
GITHUB-AZJ-Managers,Managers,AZJ
null,Managers,AZK
GITHUB-B2T-Managers,Managers,B2T
GITHUB-B4D-Managers,Managers,B4D
GITHUB-B4W-Managers,Managers,B4W
GITHUB-B7W-Managers,Managers,B7W
GITHUB-B7X-Managers,Managers,B7X
GITHUB-B85-Managers,Managers,B85
GITHUB-B96-Managers,Managers,B96
GITHUB-BAV-Managers,Managers,BAV
GITHUB-BAY-Managers,Managers,BAY
GITHUB-BC4-Managers,Managers,BC4
GITHUB-BCQ-Managers,Managers,BCQ
GITHUB-BD2-Managers,Managers,BD2
GITHUB-BDQ-Managers,Managers,BDQ
GITHUB-BE5-Managers,Managers,BE5
GITHUB-BGG-Managers,Managers,BGG
GITHUB-BHA-Managers,Managers,BHA
GITHUB-BJJ-Managers,Managers,BJJ
GITHUB-BKP-Managers,Managers,BKP
null,Managers,BNX
GITHUB-BQE-Managers,Managers,BQE
GITHUB-BRV-Managers,Managers,BRV
GITHUB-BY7-Managers,Managers,BY7
GITHUB-BYV-Managers,Managers,BYV
GITHUB-C2F-Managers,Managers,C2F
GITHUB-C2H-Managers,Managers,C2H
GITHUB-C2X-Managers,Managers,C2X
GITHUB-C5P-Managers,Managers,C5P
GITHUB-C5W-Managers,Managers,C5W
GITHUB-C68-Managers,Managers,C68
GITHUB-C6S-Managers,Managers,C6S
GITHUB-C9D-Managers,Managers,C9D
GITHUB-CAF-Managers,Managers,CAF
GITHUB-CAM-Managers,Managers,CAM
null,Managers,CB6
GITHUB-CBV-Managers,Managers,CBV
GITHUB-CCX-Managers,Managers,CCX
GITHUB-CES-Managers,Managers,CES
GITHUB-CF5-Managers,Managers,CF5
GITHUB-CFF-Managers,Managers,CFF
GITHUB-CFJ-Managers,Managers,CFJ
GITHUB-CFS-Managers,Managers,CFS
null,Managers,CGD
GITHUB-CHG-Managers,Managers,CHG
null,Managers,CM7
null,Managers,CNV
GITHUB-CPS-Managers,Managers,CPS
GITHUB-CPZ-Managers,Managers,CPZ
GITHUB-CRC-Managers,Managers,CRC
GITHUB-CRN-Managers,Managers,CRN
GITHUB-CSA-Managers,Managers,CSA
GITHUB-CTM-Managers,Managers,CTM
GITHUB-CTY-Managers,Managers,CTY
GITHUB-CUT-Managers,Managers,CUT
GITHUB-CUV-Managers,Managers,CUV
GITHUB-CVY-Managers,Managers,CVY
GITHUB-CWE-Managers,Managers,CWE
GITHUB-CWS-Managers,Managers,CWS
GITHUB-CXD-Managers,Managers,CXD
GITHUB-CXM-Managers,Managers,CXM
GITHUB-CYX-Managers,Managers,CYX
GITHUB-CZC-Managers,Managers,CZC
GITHUB-D3X-Managers,Managers,D3X
GITHUB-D52-Managers,Managers,D52
GITHUB-D5N-Managers,Managers,D5N
GITHUB-D74-Managers,Managers,D74
GITHUB-D75-Managers,Managers,D75
GITHUB-D7Y-Managers,Managers,D7Y
GITHUB-D8D-Managers,Managers,D8D
GITHUB-D8F-Managers,Managers,D8F
GITHUB-DA4-Managers,Managers,DA4
GITHUB-DAM-Managers,Managers,DAM
GITHUB-DBA-Managers,Managers,DBA
GITHUB-DDH-Managers,Managers,DDH
GITHUB-DEH-Managers,Managers,DEH
GITHUB-DEU-Managers,Managers,DEU
GITHUB-DEV-Managers,Managers,DEV
GITHUB-DF6-Managers,Managers,DF6
GITHUB-DFT-Managers,Managers,DFT
GITHUB-DG7-Managers,Managers,DG7
GITHUB-DJF-Managers,Managers,DJF
GITHUB-DM3-Managers,Managers,DM3
GITHUB-DPH-Managers,Managers,DPH
GITHUB-DPY-Managers,Managers,DPY
GITHUB-DQG-Managers,Managers,DQG
GITHUB-DRS-Managers,Managers,DRS
GITHUB-DSA-Managers,Managers,DSA
GITHUB-DTK-Managers,Managers,DTK
GITHUB-DTQ-Managers,Managers,DTQ
GITHUB-DWN-Managers,Managers,DWN
GITHUB-DX7-Managers,Managers,DX7
GITHUB-E7C-Managers,Managers,E7C
GITHUB-E8M-Managers,Managers,E8M
GITHUB-ED4-Managers,Managers,ED4
GITHUB-EDD-Managers,Managers,EDD
null,Managers,EDU
null,Managers,EEB
GITHUB-EFU-Managers,Managers,EFU
